model_key,display_name,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,true_negative,false_positive,false_negative,true_positive,correct_predictions,test_records,artifact_bytes,artifact_mib,validation_f1,validation_roc_auc
linear_svm,Linear SVM,0.73999999999999999,0.73999999999999999,0.75,0.71999999999999997,0.76000000000000001,0.73469387755102045,0.80835555555555549,57,18,21,54,111,150,778223,0.74217128753662109,0.63888888888888884,0.73066666666666669
xgboost,XGBoost,0.85999999999999999,0.85999999999999999,0.88571428571428568,0.82666666666666666,0.89333333333333331,0.85517241379310349,0.92497777777777779,67,8,13,62,129,150,128031,0.12209987640380859,0.8783783783783784,0.93208888888888886
resnet18,ResNet-18,0.73999999999999999,0.73999999999999999,0.67307692307692313,0.93333333333333335,0.54666666666666663,0.78212290502793291,0.84142222222222218,41,34,5,70,111,150,44786827,42.71204662322998,0.73372781065088755,0.84568888888888893
